id,case,start_datetime,end_datetime,event
10,02,2018-03-18T09:07:20,2018-03-18T09:08:56,Pathways
11,02,2018-03-18T09:09:28,2018-03-18T09:09:28,Kitchen
12,02,2018-03-18T09:10:00,2018-03-18T09:10:00,Bedroom
13,02,2018-03-18T09:11:04,2018-03-18T09:11:04,Livingroom
14,02,2018-03-18T09:11:36,2018-03-18T09:13:12,Kitchen
15,02,2018-03-18T12:10:03,2018-03-18T12:15:55,Restaurant/Bar
16,02,2018-03-18T12:16:27,2018-03-18T12:22:19,Kitchen
17,02,2018-03-18T12:22:51,2018-03-18T12:22:51,Otherrooms
18,02,2018-03-18T12:23:55,2018-03-18T12:25:31,Livingroom
19,02,2018-03-18T12:26:35,2018-03-18T12:26:35,Bedroom
20,02,2018-03-18T12:27:39,2018-03-18T12:28:11,Kitchen
21,02,2018-03-18T12:28:56,2018-03-18T12:28:56,Livingroom
22,02,2018-03-18T12:30:00,2018-03-18T12:30:00,Kitchen
23,02,2018-03-18T12:30:32,2018-03-18T12:30:32,Livingroom
24,02,2018-03-18T12:31:04,2018-03-18T12:31:57,Balcony
25,02,2018-03-18T12:33:59,2018-03-18T12:33:59,Livingroom
26,02,2018-03-18T12:34:40,2018-03-18T12:35:33,Balcony
27,02,2018-03-18T12:36:05,2018-03-18T12:38:13,Kitchen
28,02,2018-03-18T12:39:17,2018-03-18T12:40:53,Otherrooms
29,02,2018-03-18T12:41:25,2018-03-18T12:41:57,Buildings
30,02,2018-03-18T12:42:29,2018-03-18T13:01:22,Transportation
31,02,2018-03-18T13:01:54,2018-03-18T14:27:02,Beach
32,02,2018-03-18T14:27:34,2018-03-18T14:39:31,Mountains/hills/desert/sky
33,02,2018-03-18T14:40:03,2018-03-18T14:45:55,Beach
34,02,2018-03-18T14:46:27,2018-03-18T14:52:32,Buildings
35,02,2018-03-18T14:53:04,2018-03-18T15:01:36,Transportation
36,02,2018-03-18T15:02:08,2018-03-18T15:02:08,Garden
37,02,2018-03-18T15:02:40,2018-03-18T15:09:04,Transportation
38,02,2018-03-18T15:09:36,2018-03-18T15:10:08,Others
39,02,2018-03-18T15:10:40,2018-03-18T15:36:10,Pathways
40,02,2018-03-18T15:36:42,2018-03-18T15:37:46,Beach
41,02,2018-03-18T15:38:18,2018-03-18T15:42:02,Pathways
42,02,2018-03-18T15:42:34,2018-03-18T15:43:06,Shop
43,02,2018-03-18T15:43:38,2018-03-18T15:43:38,Others
44,02,2018-03-18T15:44:10,2018-03-18T15:56:39,Restaurant/Bar
45,02,2018-03-18T15:57:11,2018-03-18T15:57:11,Pathways
46,02,2018-03-18T15:57:43,2018-03-18T15:59:19,Shop
47,02,2018-03-18T15:59:51,2018-03-18T16:04:39,Pathways
48,02,2018-03-18T16:05:11,2018-03-18T16:06:15,Others
49,02,2018-03-18T16:06:47,2018-03-18T16:08:23,Pathways
50,02,2018-03-18T16:08:55,2018-03-18T17:00:14,Transportation
51,02,2018-03-18T17:00:46,2018-03-18T17:02:22,Pathways
